Unnamed: 0,Species,TREE_ID,Year,logF_current,X,Y
305,Pinus contorta,52073_5_9_6_2_127,2013,1.825390749,-120.375,38.375
306,Pinus contorta,52073_5_9_6_2_129,2003,0.670964364,-120.375,38.375
307,Pinus contorta,52073_5_9_6_2_129,2013,1.698260749,-120.375,38.375
308,Pinus contorta,52073_5_9_6_2_130,2003,3.175425364,-120.375,38.375
309,Pinus contorta,52073_5_9_6_2_130,2013,4.012026749,-120.375,38.375
310,Pinus contorta,52073_5_9_6_2_134,2013,2.041511749,-120.375,38.375
311,Pinus contorta,52073_5_9_6_2_134,2003,1.026928364,-120.375,38.375
312,Pinus contorta,52073_5_9_6_2_135,2003,0.759955364,-120.375,38.375
313,Pinus contorta,52073_5_9_6_2_135,2013,1.634695749,-120.375,38.375
314,Pinus contorta,52073_5_9_6_2_136,2013,2.130502749,-120.375,38.375
315,Pinus contorta,52073_5_9_6_2_136,2003,1.077780364,-120.375,38.375
316,Pinus contorta,52073_5_9_6_2_137,2003,0.785381364,-120.375,38.375
317,Pinus contorta,52073_5_9_6_2_137,2013,1.660121749,-120.375,38.375
