,Species,TREE_ID,X_old,X,Y_old,Y,Year,logF_current
151,Quercus agrifolia,54207_4_53_6_2_305,-121.87507,-121.87577,36.54169,36.54179,2017,0.543692386
152,Quercus agrifolia,54249_4_87_6_1_301,-122.0833433,-122.0838433,37.20841,37.20891,2007,1.495342005
153,Quercus agrifolia,54249_4_87_6_1_301,-122.0833633,-122.0835633,37.20834,37.20874,2017,1.318544498
154,Quercus agrifolia,54249_4_87_6_1_302,-122.0833733,-122.0842733,37.20839,37.20889,2007,1.408723519
155,Quercus agrifolia,54249_4_87_6_1_302,-122.0834233,-122.0841233,37.20838,37.20848,2017,1.214482331
156,Quercus agrifolia,54249_4_87_6_1_303,-122.0834233,-122.0842233,37.2084,37.2085,2007,1.506661829
157,Quercus agrifolia,54249_4_87_6_1_303,-122.0833333,-122.0833333,37.20834,37.20904,2017,1.22635216
158,Quercus agrifolia,54249_4_87_6_2_306,-122.0833633,-122.0838633,37.2084,37.2091,2017,0.973524824
159,Quercus agrifolia,54249_4_87_6_2_306,-122.0833733,-122.0839733,37.20834,37.20884,2007,1.354122613
160,Quercus agrifolia,54249_4_87_6_2_307,-122.0833333,-122.0840333,37.20837,37.20927,2007,1.54928183
161,Quercus agrifolia,54249_4_87_6_2_307,-122.0833533,-122.0838533,37.20836,37.20906,2017,1.270139877
162,Quercus agrifolia,54249_4_87_6_2_308,-122.0834233,-122.0839233,37.20842,37.20902,2007,2.201506824
163,Quercus agrifolia,54249_4_87_6_2_308,-122.0834233,-122.0840233,37.20833,37.20833,2017,1.966089701
164,Quercus agrifolia,54249_4_87_6_2_309,-122.0833833,-122.0833833,37.2084,37.2084,2007,1.207809551
165,Quercus agrifolia,54249_4_87_6_2_309,-122.0833333,-122.0842333,37.20835,37.20925,2017,1.057362361
166,Quercus agrifolia,54249_4_87_6_4_320,-122.0833433,-122.0837433,37.20839,37.20889,2007,1.585370278
167,Quercus agrifolia,54249_4_87_6_4_320,-122.0833433,-122.0837433,37.2084,37.2093,2017,1.359759264
168,Quercus agrifolia,54249_4_87_6_4_321,-122.0834233,-122.0839233,37.20835,37.20845,2017,1.431393322
169,Quercus agrifolia,54249_4_87_6_4_321,-122.0833533,-122.0836533,37.20841,37.20901,2007,1.657604054
170,Quercus agrifolia,54595_4_111_6_1_300,-119.2916967,-119.2923967,34.50002,34.50062,2020,2.223447838
171,Quercus agrifolia,54595_4_111_6_1_300,-119.2917167,-119.2920167,34.50009,34.50009,2010,2.940851551
172,Quercus agrifolia,54595_4_111_6_2_304,-119.2917267,-119.2925267,34.50007,34.50077,2010,1.993285152
173,Quercus agrifolia,54595_4_111_6_2_304,-119.2917367,-119.2919367,34.50008,34.50098,2020,1.965863048
174,Quercus agrifolia,54595_4_111_6_2_305,-119.2917467,-119.2921467,34.50001,34.50021,2020,2.024953693
